gene	tier_cancer	is_germline
A1CF	2	FALSE
ABI1	1	FALSE
ABL1	1	FALSE
ABL2	1	FALSE
ACKR3	1	FALSE
ACSL3	1	FALSE
ACSL6	2	FALSE
ACVR1	1	FALSE
ACVR1B	1	FALSE
ACVR2A	1	FALSE
AFDN	1	FALSE
AFF1	1	FALSE
AFF3	1	FALSE
AFF4	1	FALSE
AKAP9	2	FALSE
AKT1	1	FALSE
AKT2	1	FALSE
AKT3	2	FALSE
ALDH2	2	FALSE
ALK	1	TRUE
AMER1	1	FALSE
ANK1	2	FALSE
APC	1	TRUE
APOBEC3B	1	TRUE
AR	1	TRUE
ARAF	2	FALSE
ARHGAP26	1	FALSE
ARHGAP35	1	FALSE
ARHGAP5	2	FALSE
ARHGEF10	2	FALSE
ARHGEF10L	2	FALSE
ARHGEF12	1	FALSE
ARID1A	1	FALSE
ARID1B	1	FALSE
ARID2	1	FALSE
ARNT	1	FALSE
ASPM	2	TRUE
ASPSCR1	1	FALSE
ASXL1	1	FALSE
ASXL2	2	FALSE
ATF1	1	FALSE
ATIC	1	FALSE
ATM	1	TRUE
ATP1A1	1	FALSE
ATP2B3	1	FALSE
ATR	1	TRUE
ATRX	1	FALSE
AXIN1	1	FALSE
AXIN2	1	TRUE
B2M	1	FALSE
BAP1	1	TRUE
BARD1	1	TRUE
BAX	1	FALSE
BAZ1A	2	FALSE
BCL10	1	FALSE
BCL11A	1	FALSE
BCL11B	1	FALSE
BCL2	1	FALSE
BCL2L12	2	FALSE
BCL3	1	FALSE
BCL6	1	FALSE
BCL7A	1	FALSE
BCL9	1	FALSE
BCL9L	1	FALSE
BCLAF1	2	FALSE
BCOR	1	FALSE
BCORL1	1	FALSE
BCR	1	FALSE
BIRC3	1	FALSE
BIRC6	2	FALSE
BLM	1	TRUE
BMP5	2	FALSE
BMPR1A	1	TRUE
BRAF	1	FALSE
BRCA1	1	TRUE
BRCA2	1	TRUE
BRD3	1	FALSE
BRD4	1	FALSE
BRIP1	1	TRUE
BTG1	1	FALSE
BTG2	2	FALSE
BTK	1	FALSE
BUB1B	1	TRUE
C15orf65	2	FALSE
CACNA1D	1	FALSE
CALR	1	FALSE
CAMTA1	1	FALSE
CANT1	1	FALSE
CARD11	1	FALSE
CARS	1	FALSE
CASP3	2	FALSE
CASP8	1	FALSE
CASP9	2	FALSE
CBFA2T3	1	FALSE
CBFB	1	FALSE
CBL	1	FALSE
CBLB	1	FALSE
CBLC	1	FALSE
CCDC6	1	FALSE
CCNB1IP1	1	FALSE
CCNC	2	FALSE
CCND1	1	FALSE
CCND2	1	FALSE
CCND3	1	FALSE
CCNE1	1	FALSE
CCR4	2	FALSE
CCR7	2	FALSE
CD209	2	FALSE
CD274	1	FALSE
CD28	2	FALSE
CD74	1	FALSE
CD79A	1	FALSE
CD79B	1	FALSE
CDC73	1	TRUE
CDH1	1	TRUE
CDH10	2	TRUE
CDH11	1	FALSE
CDH17	2	FALSE
CDK12	1	FALSE
CDK4	1	TRUE
CDK6	1	FALSE
CDKN1A	2	FALSE
CDKN1B	1	TRUE
CDKN2A	1	TRUE
CDKN2C	1	FALSE
CDX2	1	FALSE
CEBPA	1	FALSE
